,PropertyType,BedroomsTotal,City,DaysOnMarket,Flooring,Heating,State,Levels,LotSizeSquareFeet,OriginalListPrice,RoomsTotal,Stories,UnparsedAddress,YearBuilt,PostalCode,PoolPrivateYN,CityRegion,Latitude,GarageSpaces,AttachedGarageYN,TaxAnnualAmount,years old,Electric,Forced Air,Wood,Heat Pump,Boiler
89,Residential,1,Port Camillamouth,45,"['Hardwood', 'Laminate']","Boiler,Wood",New York,"['One Level', 'Two Level', 'Split Level']",991,275854,22,1,"#479 231 Amelie Fork Lodge, Port Camillamouth, North Carolina 89504",1989,89504,False,Demarcusville,33.915877,1,True,574263,34,0,0,1,0,1
104,Residential,3,Alysaport,96,"['Hardwood', 'Laminate', 'Vinyl']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level']",813,485247,15,1,"#914 148 Hertha Square Ridges, Alysaport, Kansas 95092",1970,95092,True,Port Adrienneview,33.975858,4,False,717506,53,0,0,0,1,0
106,Residential,2,Lake Helmer,100,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Wood,Electric,Forced Air",New York,"['One Level', 'Two Level', 'Split Level']",975,952545,16,1,,1998,65145,False,Bartelltown,34.030443,2,False,570925,25,1,1,1,0,0
152,Residential,1,Keelyberg,79,"['Hardwood', 'Laminate']","Heat Pump,Forced Air,Wood",New York,"['One Level', 'Two Level', 'Split Level']",1885,924135,7,1,"#139 337 Rosenbaum Glen Highway, Keelyberg, Kentucky 45565",1949,45565,True,North Ima,33.523103,2,True,244561,74,0,1,1,1,0
261,Residential,2,East Myrtisfurt,89,['Hardwood'],Boiler,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",705,672314,18,1,"#195 76 Bosco Skyway Square, East Myrtisfurt, Ohio 57071",1999,57071,False,Rebecaburgh,34.296841,2,True,134438,24,0,0,0,0,1
264,Residential,2,Port Millerside,241,"['Hardwood', 'Laminate', 'Vinyl']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level']",674,882940,6,1,,2003,92375-4137,True,Lake Juston,33.993771,2,True,704130,20,0,0,0,1,0
322,Residential,1,Parisianmouth,238,"['Hardwood', 'Laminate', 'Vinyl']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level']",1628,929759,13,2,"#377 166 Leffler Lock Lane, Parisianmouth, Missouri 34350",2000,34350,False,Port Thomas,33.452358,4,True,983045,23,0,0,0,1,0
393,Residential,3,Lake Abnerberg,238,['Hardwood'],Heat Pump,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1951,643504,18,2,,1972,25017,False,Ernestshire,34.02734,2,False,867858,51,0,0,0,1,0
531,Residential,3,Lake Johannshire,363,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Forced Air,Wood,Electric",New York,"['One Level', 'Two Level']",1399,968748,15,2,,1995,39231-4247,True,Port Cordiastad,34.071993,2,True,821312,28,1,1,1,0,0
624,Residential,1,Alysaville,358,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Heat Pump,Forced Air,Electric",New York,"['One Level', 'Two Level', 'Split Level']",612,470355,9,1,"#515 88 Morar Expressway Glen, Alysaville, Oklahoma 91917",1966,91917,False,Madilynside,34.135985,3,False,640595,57,1,1,0,1,0
643,Residential,1,Mertzchester,317,['Hardwood'],Forced Air,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1328,514922,6,2,,2012,92947-3954,False,Port Bruce,34.326865,3,False,302482,11,0,1,0,0,0
708,Residential,3,Lake Mackstad,260,"['Hardwood', 'Laminate']","Forced Air,Electric",New York,"['One Level', 'Two Level', 'Split Level']",1380,550819,3,2,"#780 85 Bradtke Lodge Branch, Lake Mackstad, Virginia 80169-8589",1979,80169-8589,False,Shieldsburgh,34.093635,4,True,581583,44,1,1,0,0,0
741,Residential,3,West Eduardofort,90,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']",Forced Air,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1091,755835,24,1,,2008,56301-4627,True,Isobelchester,34.090827,1,True,878960,15,0,1,0,0,0
870,Residential,4,Port Sabina,306,"['Hardwood', 'Laminate', 'Vinyl']",Wood,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1087,47787,21,1,,1960,40901-4398,True,Schambergerville,34.180852,4,False,360450,63,0,0,1,0,0
953,Residential,3,Stoltenbergton,233,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Electric,Boiler",New York,"['One Level', 'Two Level']",642,700694,8,1,,2003,47798,True,Jalonfurt,33.931053,2,True,868294,20,1,0,0,0,1
968,Residential,4,Pricemouth,303,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Electric,Forced Air",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1691,559661,8,2,"#55 8 Kyra Plaza Spring, Pricemouth, Idaho 78075",1944,78075,True,East Nakia,33.719263,1,True,873847,79,1,1,0,0,0
1160,Residential,3,South Tannerside,295,['Hardwood'],"Electric,Wood,Heat Pump",New York,"['One Level', 'Two Level']",1248,281905,3,2,,2013,34590,True,Lake Adeliaburgh,34.628634,2,False,158598,10,1,0,1,1,0
1219,Residential,2,East Vidalville,304,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Forced Air,New York,"['One Level', 'Two Level']",1449,155663,14,2,"#856 380 Murray Ranch Unions, East Vidalville, California 26840-9760",1993,26840-9760,True,North Serenaton,33.876268,1,True,988125,30,0,1,0,0,0
1510,Residential,2,Maurineport,186,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Forced Air,Electric",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1269,609789,19,1,,1990,96066,True,Jacobsbury,34.070117,3,False,282173,33,1,1,0,0,0
1529,Residential,4,Evertton,265,"['Hardwood', 'Laminate']",Forced Air,New York,"['One Level', 'Two Level']",612,880306,11,1,,1944,73265,True,East Cora,34.131647,4,True,861424,79,0,1,0,0,0
1558,Residential,4,Whiteberg,37,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Heat Pump,Forced Air,Electric",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",520,753189,13,2,,1949,22274,False,Edgarport,33.409941,4,False,759152,74,1,1,0,1,0
1590,Residential,3,Doylehaven,17,['Hardwood'],Forced Air,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1189,981345,19,1,,2002,32519-1201,False,Ricemouth,34.11261,4,False,806326,21,0,1,0,0,0
1605,Residential,1,New Adeleberg,299,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",572,840399,6,1,,1964,25274-1300,True,South Merle,34.456515,1,False,246141,59,0,0,0,1,0
1644,Residential,2,Santiagochester,273,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Heat Pump,Electric",New York,"['One Level', 'Two Level']",1455,902026,24,2,,1979,32188-4439,True,South Evanschester,34.193505,1,False,739660,44,1,0,0,1,0
1723,Residential,2,Mrazfort,299,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Forced Air,Heat Pump,Wood",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",884,155120,21,2,,1960,42129-5276,False,North Horaceview,34.426922,2,True,501812,63,0,1,1,1,0
1778,Residential,1,West Xavierport,152,"['Hardwood', 'Laminate']","Boiler,Wood",New York,['One Level'],1707,449795,3,2,"#989 261 Mathilde Lane Meadow, West Xavierport, Rhode Island 35665",2011,35665,True,Jaquelinfort,34.196597,3,False,767941,12,0,0,1,0,1
2117,Residential,1,Klingmouth,321,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']",Electric,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1173,669072,7,2,,1948,14004,True,New Katherinefort,34.339985,1,True,922246,75,1,0,0,0,0
2391,Residential,4,West Darionport,12,"['Hardwood', 'Laminate', 'Vinyl']","Forced Air,Boiler,Heat Pump",New York,"['One Level', 'Two Level']",1921,806479,1,1,"#879 197 Velva View Unions, West Darionport, Montana 62949-6036",1964,62949-6036,False,Littelport,34.303613,2,True,878926,59,0,1,0,1,1
2487,Residential,1,Abigayleborough,275,['Hardwood'],"Wood,Electric",New York,['One Level'],1455,530828,18,2,"#364 93 Bradtke Island Alley, Abigayleborough, South Carolina 41460-2503",1995,41460-2503,False,West Violet,34.110711,4,True,416212,28,1,0,1,0,0
2504,Residential,3,East Jeanieborough,280,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Wood,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",509,295024,21,2,,1992,52711-5182,False,Sauerborough,33.960465,1,False,570066,31,0,0,1,0,0
2603,Residential,1,Port Ashlyshire,231,['Hardwood'],"Boiler,Forced Air",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",764,101066,19,1,,2006,39704,False,Port Isaacton,33.221625,1,False,673312,17,0,1,0,0,1
2707,Residential,2,Lake Belle,203,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Heat Pump,Wood,Forced Air",New York,"['One Level', 'Two Level']",1289,190487,16,2,,1944,67305,False,Lake Freddiestad,33.804576,4,True,467250,79,0,1,1,1,0
2743,Residential,4,Lake Geoffreymouth,288,['Hardwood'],"Heat Pump,Boiler,Electric",New York,['One Level'],1207,69455,19,2,"#257 465 Quincy Cove Flat, Lake Geoffreymouth, Vermont 49066-6048",1976,49066-6048,True,Port Magdalena,33.831542,4,True,323873,47,1,0,0,1,1
2774,Residential,2,Huelsfurt,309,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']",Forced Air,New York,"['One Level', 'Two Level']",1669,840877,14,2,"#775 297 Anderson Unions Crescent, Huelsfurt, Louisiana 99811",1942,99811,True,Ernserfort,33.67612,4,False,434550,81,0,1,0,0,0
2788,Residential,3,MacGyverview,312,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Boiler,Wood,Electric",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1109,195178,2,2,"#788 404 Schneider Ranch Ford, MacGyverview, Oregon 33553-4519",1943,33553-4519,True,Ornport,34.362495,3,False,755222,80,1,0,1,0,1
2942,Residential,2,Lake Jessieside,300,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']",Heat Pump,New York,['One Level'],884,775129,21,1,"#20 423 Alana Meadows Mill, Lake Jessieside, Georgia 64356-1267",1989,64356-1267,True,Danielton,33.529585,3,True,191799,34,0,0,0,1,0
2944,Residential,2,West Amieshire,359,"['Hardwood', 'Laminate', 'Vinyl']",Wood,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1601,721740,7,2,"#336 347 Borer Roads Village, West Amieshire, Oklahoma 16445",1943,16445,True,Ramontown,33.9424,4,True,251185,80,0,0,1,0,0
3173,Residential,3,Port Nicholausborough,331,"['Hardwood', 'Laminate']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1930,747727,11,1,,2009,87779-0853,True,Mayerborough,33.567875,2,False,287041,14,0,0,0,1,0
3224,Residential,3,Lebsackchester,212,"['Hardwood', 'Laminate', 'Vinyl']","Wood,Heat Pump",New York,['One Level'],1334,496217,4,2,,1999,18270,False,Leetown,34.150204,3,False,460755,24,0,0,1,1,0
3383,Residential,3,Wymanport,176,"['Hardwood', 'Laminate', 'Vinyl']",Electric,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",517,857851,2,2,,1985,61694-9499,False,East Kameron,33.592098,2,True,157062,38,1,0,0,0,0
3433,Residential,1,North Leilaland,60,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Forced Air,New York,"['One Level', 'Two Level', 'Split Level']",1578,866082,8,1,"#74 273 Janick Inlet Centers, North Leilaland, Oklahoma 81654",1953,81654,False,Wilhelmshire,33.827865,1,False,869761,70,0,1,0,0,0
3485,Residential,3,Kieraburgh,48,['Hardwood'],Electric,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",657,120988,12,2,"#678 484 Collins Summit Station, Kieraburgh, Minnesota 97717",2006,97717,True,North Roderickside,33.722124,1,True,683787,17,1,0,0,0,0
3495,Residential,1,Lake Tillmanburgh,360,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Electric,New York,"['One Level', 'Two Level', 'Split Level']",1672,111944,6,2,,1966,23539,True,Llewellynton,34.175968,2,False,903548,57,1,0,0,0,0
3524,Residential,2,Queenieville,98,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Boiler,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1850,671052,15,2,"#346 382 Weber Mall Manor, Queenieville, Idaho 34592",1959,34592,True,New Lydiamouth,33.985691,3,True,402122,64,0,0,0,0,1
3577,Residential,3,East Elisha,54,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1682,127011,21,2,"#935 422 Laura Estates Shoals, East Elisha, California 67457",1950,67457,True,Lowemouth,34.03007,2,True,755157,73,0,0,0,1,0
3879,Residential,4,West Jazlyn,316,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Electric,New York,"['One Level', 'Two Level', 'Split Level']",985,68822,8,1,,1974,15337-4076,True,Walkerburgh,33.928009,3,False,782928,49,1,0,0,0,0
3895,Residential,4,East Donna,216,"['Hardwood', 'Laminate']",Wood,New York,"['One Level', 'Two Level', 'Split Level']",963,344372,9,2,,1949,61139,False,West Berta,33.67389,4,False,895067,74,0,0,1,0,0
3973,Residential,1,Vincenzoton,192,"['Hardwood', 'Laminate']","Electric,Forced Air,Heat Pump",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1024,287120,15,2,"#73 250 Colleen Stravenue Estates, Vincenzoton, Oklahoma 66930",1981,66930,False,Rodriguezville,34.043579,2,False,750056,42,1,1,0,1,0
4072,Residential,4,West Arifort,281,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']",Forced Air,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1435,713719,13,2,,1956,34165-3102,True,South Pasqualeshire,34.253309,3,False,526887,67,0,1,0,0,0
4193,Residential,4,New Dolores,242,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Boiler,Forced Air,Wood",New York,"['One Level', 'Two Level', 'Split Level']",1523,246242,17,2,,1983,27633-8714,True,North Peggieton,34.03819,2,True,531725,40,0,1,1,0,1
4196,Residential,4,Bashirianport,331,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Electric,Forced Air,Heat Pump",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",844,841696,16,1,,1949,82242-9505,True,East Joshbury,34.007654,4,False,211251,74,1,1,0,1,0
4268,Residential,4,North Salma,276,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Forced Air,Boiler,Electric",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",896,395707,14,1,"#67 87 Howell Grove River, North Salma, Arizona 48722-8854",2005,48722-8854,True,Gloverborough,34.068602,4,False,468500,18,1,1,0,0,1
4338,Residential,3,Urielberg,68,"['Hardwood', 'Laminate']",Wood,New York,"['One Level', 'Two Level', 'Split Level']",1766,281629,17,1,"#128 210 Aryanna Road Village, Urielberg, North Carolina 83747-3001",2012,83747-3001,False,East Clare,33.936877,2,True,187430,11,0,0,1,0,0
4392,Residential,1,Ignatiuston,345,['Hardwood'],"Wood,Boiler,Forced Air",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1881,545283,16,1,,2002,98668-7892,True,North Halle,34.046755,2,False,718295,21,0,1,1,0,1
4441,Residential,4,Port Serenity,178,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Forced Air,Electric",New York,['One Level'],915,346277,21,2,"#449 107 McKenzie Brooks Plaza, Port Serenity, Montana 74888-6754",1958,74888-6754,False,New Mariane,33.844041,3,False,557264,65,1,1,0,0,0
4444,Residential,3,Port Pattiefurt,157,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Wood,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1909,91557,2,1,"#412 69 Waters Ferry Station, Port Pattiefurt, Ohio 30248-5320",1957,30248-5320,False,South Murl,34.097799,1,False,749530,66,0,0,1,0,0
4447,Residential,4,West Jaleel,57,['Hardwood'],"Electric,Boiler",New York,"['One Level', 'Two Level', 'Split Level']",624,911876,11,2,,1955,13956-8822,False,South Arnoville,33.744111,3,True,765931,68,1,0,0,0,1
4455,Residential,1,Paucekhaven,65,"['Hardwood', 'Laminate']","Electric,Forced Air,Boiler",New York,['One Level'],1298,938311,7,1,,2010,93285-2185,False,Port Erika,34.364177,2,True,401607,13,1,1,0,0,1
4470,Residential,4,Heathcoteview,227,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Boiler,Wood,Heat Pump",New York,"['One Level', 'Two Level']",1670,751503,14,2,,1978,25172,True,South Dakota,33.989492,2,True,631476,45,0,0,1,1,1
4528,Residential,3,Rosenbaumtown,212,"['Hardwood', 'Laminate']",Electric,New York,['One Level'],1988,338957,14,2,,1981,54643-2860,False,Lynnville,33.612477,3,False,658139,42,1,0,0,0,0
4542,Residential,3,Satterfieldtown,218,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']",Wood,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1702,633586,11,2,,2001,74092-2373,False,Mollyburgh,33.817724,3,False,154667,22,0,0,1,0,0
4557,Residential,2,South Ellsworthport,21,"['Hardwood', 'Laminate']","Forced Air,Boiler",New York,['One Level'],1601,240362,9,1,"#790 330 Bosco Estate Mount, South Ellsworthport, Indiana 35351-6861",1976,35351-6861,True,South Jadynside,33.308667,3,True,807740,47,0,1,0,0,1
4609,Residential,3,North Diego,68,['Hardwood'],Wood,New York,"['One Level', 'Two Level', 'Split Level']",1367,212922,3,2,,1995,15368,True,Margaritaborough,34.1379,2,True,581874,28,0,0,1,0,0
4776,Residential,1,Webershire,300,"['Hardwood', 'Laminate', 'Vinyl']","Boiler,Wood",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1676,272609,20,2,,1956,63240-4564,True,Cassinburgh,34.278156,1,False,212078,67,0,0,1,0,1
4870,Residential,3,Imahaven,358,['Hardwood'],Forced Air,New York,"['One Level', 'Two Level']",1960,293616,10,2,"#311 489 Kris Isle Center, Imahaven, Nebraska 19700-0215",1956,19700-0215,False,New Javier,34.383058,4,False,208087,67,0,1,0,0,0
4920,Residential,2,Mathewfort,57,['Hardwood'],"Forced Air,Wood,Heat Pump",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1267,965809,9,1,"#225 163 Effertz Springs Club, Mathewfort, Vermont 64918",1962,64918,True,South Dewittborough,33.829035,1,False,426371,61,0,1,1,1,0
4968,Residential,1,Rafaelamouth,297,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1802,643368,14,1,,1943,14688-7441,False,Stiedemanntown,33.800303,3,False,745241,80,0,0,0,1,0
5068,Residential,1,West Aubreefort,169,['Hardwood'],"Heat Pump,Electric",New York,"['One Level', 'Two Level', 'Split Level']",1990,473276,9,1,,1947,79384-1308,False,Mozellshire,33.722786,4,True,111571,76,1,0,0,1,0
5279,Residential,1,New Gertrude,61,"['Hardwood', 'Laminate']","Heat Pump,Forced Air",New York,"['One Level', 'Two Level']",639,214082,18,1,,1942,46226-2923,False,North Guidoburgh,33.091646,4,False,534173,81,0,1,0,1,0
